source,target,volume,reuseTips,type,pipette,tipType,bottomTouch,liquidLevelDetection
9:B9,10:F8,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:B9,10:H12,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:B5,10:A3,50,False,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:B5,10:D10,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:B5,10:E2,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:B5,10:G3,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A8,10:A2,50,False,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A8,10:B3,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A8,10:C4,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A8,10:E3,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:B10,50,False,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:C10,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:D3,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:E4,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A11,10:D2,50,False,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A11,10:D11,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A11,10:E5,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A11,10:H2,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A6,10:A8,50,False,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A6,10:E6,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A6,10:F12,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A6,10:H9,50,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
